CIRCUS NAME,City / Area,STATE,Show Date
ESC,Saanichton,BC,"Tuesday, April 1, 2025"
ESC,Saanichton,BC,"Wednesday, April 2, 2025"
ESC,Saanichton,BC,"Thursday, April 3, 2025"
ESC,Saanichton,BC,"Friday, April 4, 2025"
ESC,Saanichton,BC,"Saturday, April 5, 2025"
ESC,Saanichton,BC,"Sunday, April 6, 2025"
ESC,Saanichton,BC,"Monday, April 7, 2025"
ESC,Saanichton,BC,"Tuesday, April 8, 2025"
ESC,Saanichton,BC,"Wednesday, April 9, 2025"
ESC,Saanichton,BC,"Thursday, April 10, 2025"
ESC,Saanichton,BC,"Friday, April 11, 2025"
ESC,Saanichton,BC,"Saturday, April 12, 2025"
ESC,Saanichton,BC,"Sunday, April 13, 2025"
ESC,Saanichton,BC,"Monday, April 14, 2025"
ESC,Nanaimo,BC,"Tuesday, April 15, 2025"
ESC,Nanaimo,BC,"Wednesday, April 16, 2025"
ESC,Nanaimo,BC,"Thursday, April 17, 2025"
ESC,Nanaimo,BC,"Friday, April 18, 2025"
ESC,Nanaimo,BC,"Saturday, April 19, 2025"
ESC,Nanaimo,BC,"Sunday, April 20, 2025"
ESC,Nanaimo,BC,"Monday, April 21, 2025"
ESC,Nanaimo,BC,"Tuesday, April 22, 2025"
ESC,Nanaimo,BC,"Wednesday, April 23, 2025"
ESC,Nanaimo,BC,"Thursday, April 24, 2025"
ESC,Nanaimo,BC,"Friday, April 25, 2025"
ESC,Nanaimo,BC,"Saturday, April 26, 2025"
ESC,Nanaimo,BC,"Sunday, April 27, 2025"
ESC,Nanaimo,BC,"Monday, April 28, 2025"
ESC,Surrey,BC,"Tuesday, April 29, 2025"
ESC,Surrey,BC,"Wednesday, April 30, 2025"
ESC,Surrey,BC,"Thursday, May 1, 2025"
ESC,Surrey,BC,"Friday, May 2, 2025"
ESC,Surrey,BC,"Saturday, May 3, 2025"
ESC,Surrey,BC,"Sunday, May 4, 2025"
ESC,Surrey,BC,"Monday, May 5, 2025"
ESC,Abbotsford,BC,"Tuesday, May 6, 2025"
ESC,Abbotsford,BC,"Wednesday, May 7, 2025"
ESC,Abbotsford,BC,"Thursday, May 8, 2025"
ESC,Abbotsford,BC,"Friday, May 9, 2025"
